,geocode
74405,"Sezze, Latina, Lazio, 04018, Italia"
74406,"Sonnino, Latina, Lazio, Italia"
74411,"Vernate, Città metropolitana di Milano, Lombardia, Italia"
74413,"Albettone, Vicenza, Veneto, Italia"
74415,"Agugliaro, Vicenza, Veneto, Italia"
74418,"Campiglia dei Berici, Vicenza, Veneto, Italia"
74431,"Gambugliano, Vicenza, Veneto, Italia"
74432,"Grancona, Val Liona, Vicenza, Veneto, 36044, Italia"
74433,"Monte di Malo, Vicenza, Veneto, Italia"
74438,"Sarego, Vicenza, Veneto, Italia"
74444,"Buonabitacolo, Salerno, Campania, 84032, Italia"
74445,"Sanza, Salerno, Campania, Italia"
74446,"Brenna, Como, Lombardia, Italia"
74465,"Cucciago, Como, Lombardia, Italia"
74466,"Figino Serenza, Como, Lombardia, Italia"
74472,"Novedrate, Como, Lombardia, Italia"
74474,"Solbiate, Solbiate con Cagno, Como, Lombardia, 22077, Italia"
74484,"Montalbano Jonico, Matera, Basilicata, Italia"
74490,"Triggianello, Conversano, Bari, Puglia, 70100, Italia"
74500,"San Polo, Torrile, Parma, Emilia-Romagna, 43056, Italia"
74501,"Valledolmo, Palermo, Sicilia, 90029, Italia"
74502,"Vestenanova, Verona, Veneto, Italia"
74504,"Revò, Novella, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38028, Italia"
74507,"Spiazzo, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38088, Italia"
74509,"Strigno, Castel Ivano, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38059, Italia"
74534,"Trevignano, Treviso, Veneto, Italia"
74557,"Longare, Vicenza, Veneto, 36023, Italia"
74559,"Angiari, Verona, Veneto, Italia"
74578,"Monteriggioni, Siena, Toscana, 53035, Italia"
74716,"Redecesio, Segrate, Città metropolitana di Milano, Lombardia, 2054, Italia"
74736,"Acquafredda, Brescia, Lombardia, Italia"
74738,
74744,"Alberone, Cento, Unione Alto Ferrarese, Ferrara, Emilia-Romagna, 41034, Italia"
74749,"Almenno San Bartolomeo, Bergamo, Lombardia, Italia"
74753,"Andrano, Lecce, Puglia, 73032, Italia"
74756,"Argelato, Unione Reno Galliera, Bologna, Emilia-Romagna, Italia"
74759,"Arpino, Frosinone, Lazio, 03033, Italia"
74760,"Artogne, Comunità montana della valle Camonica, Brescia, Lombardia, Italia"
74773,"Baiso, Tresinaro - Secchia, Reggio nell'Emilia, Emilia-Romagna, 42031, Italia"
74775,"Barzana, Bergamo, Lombardia, Italia"
74780,"Bellaria-Igea Marina, Rimini, Emilia-Romagna, Italia"
74781,
74783,"Berlingo, Brescia, Lombardia, Italia"
74793,"Bossico, Bergamo, Lombardia, Italia"
74797,"Braone, Comunità montana della valle Camonica, Brescia, Lombardia, Italia"
74800,"Budune/Budoni, Nord-Est Sardegna, Sardegna, 07051, Italia"
74811,"Calvi Risorta, Caserta, Campania, Italia"
74816,"Camposanto, Unione Comuni Modenesi Area Nord, Modena, Emilia-Romagna, 41031, Italia"
74828,"Carinola, Caserta, Campania, Italia"
74832,"Cartigliano, Vicenza, Veneto, Italia"
74851,"Castellalto, Teramo, Abruzzo, Italia"
74857,"Castelsilano, Crotone, Calabria, Italia"
74862,"Castro, Bergamo, Lombardia, 24063, Italia"
74870,"Cerenzia, Crotone, Calabria, Italia"
74879,"Chiaravalle Centrale, Catanzaro, Calabria, 88064, Italia"
74884,"Chiuppano, Vicenza, Veneto, Italia"
74886,"Cimbergo, Comunità montana della valle Camonica, Brescia, Lombardia, Italia"
74887,"Cimitile, Napoli, Campania, Italia"
74888,"Cingia de' Botti, Cremona, Lombardia, Italia"
74890,"Cison di Valmarino, Treviso, Veneto, Italia"
74899,"Collio, Comunità montana della valle Trompia, Brescia, Lombardia, Italia"
74914,
74915,"Cursi, Lecce, Puglia, Italia"
74921,"Diso, Lecce, Puglia, Italia"
74922,"Drizzona, Piadena Drizzona, Cremona, Lombardia, 26034, Italia"
74927,"Erchie, Brindisi, Puglia, Italia"
74932,"Ferentino, Frosinone, Lazio, 03013, Italia"
74943,"Fonteno, Bergamo, Lombardia, 24060, Italia"
74947,"Francolise, Caserta, Campania, Italia"
74952,"Gardone Riviera, Comunità Montana Parco Alto Garda bresciano, Brescia, Lombardia, Italia"
74957,"Gianico, Comunità montana della valle Camonica, Brescia, Lombardia, Italia"
74958,"Giffoni Sei Casali, Salerno, Campania, Italia"
74968,"Grontardo, Cremona, Lombardia, Italia"
74982,"Jolanda di Savoia, Ferrara, Emilia-Romagna, 44037, Italia"
74986,"Lanuvio, Roma Capitale, Lazio, 00075, Italia"
74996,"Lozio, Comunità montana della valle Camonica, Brescia, Lombardia, Italia"
75003,"Malegno, Comunità montana della valle Camonica, Brescia, Lombardia, 25053, Italia"
75005,"Manerba del Garda, Brescia, Lombardia, 29080, Italia"
75017,"Marmentino, Comunità montana della valle Trompia, Brescia, Lombardia, Italia"
75021,"Medesano, Parma, Emilia-Romagna, Italia"
75026,"Melissa, Crotone, Calabria, 88814, Italia"
75043,"Montalbano Elicona, Messina, Sicilia, 98065, Italia"
75046,"Monte San Vito, Ancona, Marche, 60037, Italia"
75050,"Montechiarugolo, Parma, Emilia-Romagna, 43022, Italia"
75051,"Montecorvino Rovella, Salerno, Campania, Italia"
75054,"Montelupone, Macerata, Marche, Italia"
75059,"Morciano di Leuca, Lecce, Puglia, Italia"
75060,"Moriago della Battaglia, Treviso, Veneto, Italia"
75075,"Olmeneta, Cremona, Lombardia, Italia"
75077,"Ono San Pietro, Comunità montana della valle Camonica, Brescia, Lombardia, Italia"
75078,"Opi, L'Aquila, Abruzzo, Italia"
75082,"Ostellato, Unione dei comuni Valli e Delizie, Ferrara, Emilia-Romagna, 44020, Italia"
75085,"Padula, Salerno, Campania, Italia"
75087,"Paolisi, Benevento, Campania, Italia"
75090,"Paspardo, Comunità montana della valle Camonica, Brescia, Lombardia, Italia"
75093,"Pellezzano, Salerno, Campania, Italia"
75094,"Pennabilli, Unione di comuni Valmarecchia, Rimini, Emilia-Romagna, 47864, Italia"
75105,"Pietramelara, Caserta, Campania, Italia"
75106,"Pieve d'Olmi, Cremona, Lombardia, Italia"
75113,"Pofi, Frosinone, Lazio, Italia"
75132,"Pozzaglio ed Uniti, Cremona, Lombardia, Italia"
75145,"Recale, Caserta, Campania, Italia"
75151,"Riardo, Caserta, Campania, Italia"
75157,"Canove, Roana, Vicenza, Veneto, 36012, Italia"
75158,"Rocca di Neto, Crotone, Calabria, Italia"
75160,"Roccanova, Potenza, Basilicata, Italia"
75174,"Sammichele di Bari, Bari, Puglia, Italia"
75176,"Cerbaia in Val di Pesa, San Casciano in Val di Pesa, Firenze, Toscana, Italia"
75184,"San Lorenzo Nuovo, Viterbo, Lazio, Italia"
75194,"Sannicandro di Bari, Bari, Puglia, 70028, Italia"
75198,"Santa Maria del Cedro, Cosenza, Calabria, Italia"
75199,"Sant'Agata di Puglia, Foggia, Puglia, 71028, Italia"
75209,"Savoia di Lucania, Potenza, Basilicata, Italia"
75214,"Scilla, Reggio di Calabria, Calabria, 89058, Italia"
75215,"Scorrano, Lecce, Puglia, Italia"
75218,"Seminara, Reggio di Calabria, Calabria, Italia"
75220,"Serra San Bruno, Vibo Valentia, Calabria, 89822, Italia"
75222,"Serre, Salerno, Campania, Italia"
75223,"Servigliano, Fermo, Marche, Italia"
75235,"Sovere, Bergamo, Lombardia, Italia"
75254,"Tizzano Val Parma, Parma, Emilia-Romagna, 43028, Italia"
75257,"Torraca, Salerno, Campania, Italia"
75269,"Troia, Foggia, Puglia, Italia"
75282,"Velo d'Astico, Vicenza, Veneto, Italia"
75288,"Vezza d'Oglio, Comunità montana della valle Camonica, Brescia, Lombardia, Italia"
75294,"Villa Literno, Caserta, Campania, Italia"
75300,"Lancenigo, Villorba, Treviso, Veneto, 31020, Italia"
75302,"Vobarno, Comunità montana della Valle Sabbia, Brescia, Lombardia, 25079, Italia"
75303,"Vobbia, Genova, Liguria, Italia"
75304,"Zollino, Lecce, Puglia, Italia"
75307,"Agosta, Roma Capitale, Lazio, Italia"
75339,"Concordia sulla Secchia, Unione Comuni Modenesi Area Nord, Modena, Emilia-Romagna, 41033, Italia"
75343,"Acerno, Salerno, Campania, Italia"
75351,"Giffoni Valle Piana, Salerno, Campania, 84095, Italia"
75352,"Montecorvino, via Domenico Cimarosa, Bellizzi, Salerno, Campania, 84092, Italia"
75353,"Montecorvino Pugliano, Salerno, Campania, Italia"
75354,"Olevano sul Tusciano, Salerno, Campania, Italia"
75358,"Postiglione, Salerno, Campania, Italia"
75365,"Lurano, Bergamo, Lombardia, Italia"
75369,"Dasà, Vibo Valentia, Calabria, Italia"
75370,"Francica, Vibo Valentia, Calabria, Italia"
75371,"Maierato, Vibo Valentia, Calabria, Italia"
75372,"Pizzo, Vibo Valentia, Calabria, Italia"
75395,"Barbarasco, Tresana, Unione di comuni Montana Lunigiana, Massa-Carrara, Toscana, 54012, Italia"
75406,"Follo, La Spezia, Liguria, Italia"
75445,"Padivarma, Beverino, La Spezia, Liguria, 19020, Italia"
75465,"Sesta Godano, La Spezia, Liguria, Italia"
75473,"Ampezzo, Udine, Friuli-Venezia Giulia, 33021, Italia"
75482,"Bibione, San Michele al Tagliamento, Venezia, Veneto, 30028, Italia"
75485,"Budoia, Pordenone, Friuli-Venezia Giulia, Italia"
75494,"Cassacco, Udine, Friuli-Venezia Giulia, Italia"
75496,"Catena, Villorba, Treviso, Veneto, 31202, Italia"
75497,"Ceggia, Venezia, Veneto, 30022, Italia"
75500,"Claut, Pordenone, Friuli-Venezia Giulia, Italia"
75503,"Colle Umberto, Treviso, Veneto, 31014, Italia"
75504,"Comeglians, Udine, Friuli-Venezia Giulia, 33023, Italia"
75509,"Cordovado, Pordenone, Friuli-Venezia Giulia, Italia"
75511,"Eraclea, Venezia, Veneto, 30020, Italia"
75513,"Fagagna, Udine, Friuli-Venezia Giulia, Italia"
75514,"Fanna, Pordenone, Friuli-Venezia Giulia, Italia"
75516,"Follina, Treviso, Veneto, 31051, Italia"
75517,"Forni Avoltri, Udine, Friuli-Venezia Giulia, Italia"
75520,"Giavera del Montello, Treviso, Veneto, Italia"
75522,"Grantorto, Padova, Veneto, 35010, Italia"
75525,
75528,"Lignano Pineta, Lignano Sabbiadoro, Udine, Friuli-Venezia Giulia, 33054, Italia"
75531,"Lutrano, Fontanelle, Treviso, Veneto, 31043, Italia"
75539,"Moggio Udinese, Udine, Friuli-Venezia Giulia, 33015, Italia"
75546,"Nimis, Udine, Friuli-Venezia Giulia, 33045, Italia"
75557,"Palazzolo dello Stella, Udine, Friuli-Venezia Giulia, 33056, Italia"
75565,"Pontebba, Udine, Friuli-Venezia Giulia, 33016, Italia"
75587,"Roveredo in Piano, Pordenone, Friuli-Venezia Giulia, Italia"
75592,"Salgareda, Treviso, Veneto, Italia"
75595,"San Fior, Treviso, Veneto, Italia"
75613,"Torre di Mosto, Venezia, Veneto, Italia"
75615,"Torviscosa, Udine, Friuli-Venezia Giulia, Italia"
75630,"Valvasone, Piazza Castello, Borgo Sant'Antonio, Valvasone, Valvasone Arzene, Pordenone, Friuli-Venezia Giulia, 33098, Italia"
75648,"Vigonovo, Fontanafredda, Pordenone, Friuli-Venezia Giulia, 33074, Italia"
75651,"Vito d'Asio, Pordenone, Friuli-Venezia Giulia, Italia"
75653,"Zoppola, Pordenone, Friuli-Venezia Giulia, Italia"
75662,"Paliano, Frosinone, Lazio, 03018, Italia"
75663,"Serrone, Frosinone, Lazio, Italia"
75665,"Oria, Brindisi, Puglia, 72024, Italia"
75666,"Cropani, Catanzaro, Calabria, Italia"
75669,"Brignano Gera d'Adda, Bergamo, Lombardia, 24053, Italia"
75671,"Fontanella, Bergamo, Lombardia, Italia"
75672,"Fornovo San Giovanni, Bergamo, Lombardia, Italia"
75676,"Torre Pallavicina, Bergamo, Lombardia, Italia"
75682,"Albidona, Cosenza, Calabria, Italia"
75683,"Amendolara, Cosenza, Calabria, Italia"
75684,"Bisignano, Cosenza, Calabria, Italia"
75686,"Lattarico, Cosenza, Calabria, Italia"
75687,"Luzzi, Cosenza, Calabria, Italia"
75689,"Paola, Cosenza, Calabria, Italia"
75692,"Rocca Imperiale, Cosenza, Calabria, Italia"
75693,"Rose, Cosenza, Calabria, Italia"
75694,"San Giovanni in Fiore, Cosenza, Calabria, 87055, Italia"
75695,"Cassano all'Ionio, Cosenza, Calabria, 87011, Italia"
75697,"Crosia, Cosenza, Calabria, Italia"
75698,"Frascineto, Cosenza, Calabria, Italia"
75699,"Spezzano Albanese, Cosenza, Calabria, 87019, Italia"
75705,"Castel del Rio, Nuovo Circondario Imolese, Bologna, Emilia-Romagna, 40022, Italia"
75706,"Castiglione di Ravenna, Ravenna, Emilia-Romagna, Italia"
75707,"Conselice, Unione dei comuni della Bassa Romagna, Ravenna, Emilia-Romagna, 48017, Italia"
75708,"Cotignola, Unione dei comuni della Bassa Romagna, Ravenna, Emilia-Romagna, 48033, Italia"
75722,"Lido Adriano, Ravenna, Emilia-Romagna, 48122, Italia"
75729,"Mezzano, Caserta, Campania, 81100, Italia"
75730,"Modigliana, Unione di Comuni della Romagna Forlivese, Forlì-Cesena, Emilia-Romagna, 47015, Italia"
75744,"Savio, Cervia, Ravenna, Emilia-Romagna, 48016, Italia"
75745,"Tredozio, Unione di Comuni della Romagna Forlivese, Forlì-Cesena, Emilia-Romagna, 47019, Italia"
75746,"Villanova Canadian War Cemetery, Villanova di Bagnacavallo, Bagnacavallo, Unione dei comuni della Bassa Romagna, Ravenna, Emilia-Romagna, 48012, Italia"
75747,"Viano, Tresinaro - Secchia, Reggio nell'Emilia, Emilia-Romagna, Italia"
75749,"Donnini, Reggello, Firenze, Toscana, Italia"
75751,"Incisa, Argini Arno riva Sinistra, Massa, Figline e Incisa Valdarno, Firenze, Toscana, 50064, Italia"
75785,"Bolzaneto, Val Polcevera, Genova, Liguria, 16162, Italia"
75800,"Casellina, Scandicci, Firenze, Toscana, 50018, Italia"
75810,"Cimitero vecchio di Cervarezza, Via della Resistenza, Cervarezza Terme, Cervarezza, Ventasso, Appennino Reggiano, Reggio nell'Emilia, Emilia-Romagna, 42039, Italia"
75846,"Gallicano nel Lazio, Roma Capitale, Lazio, Italia"
75883,"Montale Rangone, Castelnuovo Rangone, Unione di comuni Terre di Castelli, Modena, Emilia-Romagna, 41051, Italia"
75920,"Ramiseto, Ventasso, Appennino Reggiano, Reggio nell'Emilia, Emilia-Romagna, Italia"
75948,"Rovagnate, La Valletta Brianza, Unione dei comuni della Valletta, Lecco, Lombardia, 23888, Italia"
75960,"San Mango d'Aquino, Catanzaro, Calabria, Italia"
75999,"Fosso Valletta, Roncello, Unione Comuni Basiano Masate, Monza e della Brianza, Lombardia, 20400, Italia"
76010,"Vicari, Palermo, Sicilia, 90020, Italia"
76017,"Volturino, Foggia, Puglia, Italia"
76018,"Acconia, Curinga, Catanzaro, Calabria, 88022, Italia"
76025,"Arceto, Scandiano, Tresinaro - Secchia, Reggio nell'Emilia, Emilia-Romagna, 42019, Italia"
76034,"Barco, Bibbiano, Val d’Enza, Reggio nell'Emilia, Emilia-Romagna, Italia"
76036,"Bedonia, Parma, Emilia-Romagna, 43041, Italia"
76037,"Belvedere di Spinello, Crotone, Calabria, Italia"
76044,"Borgo Val di Taro, Parma, Emilia-Romagna, 43043, Italia"
76047,
76050,"Calerno, Sant'Ilario d'Enza, Val d’Enza, Reggio nell'Emilia, Emilia-Romagna, 42049, Italia"
76078,"Celenza Valfortore, Foggia, Puglia, Italia"
76080,"Cicciano, Napoli, Campania, 80033, Italia"
76081,"Ciminna, Palermo, Sicilia, 90023, Italia"
76082,"Cittadella del Capo, Bonifati, Cosenza, Calabria, Italia"
76089,"Cortale, Catanzaro, Calabria, 88020, Italia"
76094,"Delianuova, Reggio di Calabria, Calabria, 89012, Italia"
76095,"Felina, Castelnovo ne' Monti, Appennino Reggiano, Reggio nell'Emilia, Emilia-Romagna, Italia"
76098,"Filadelfia, Vibo Valentia, Calabria, Italia"
76104,"Gagliano del Capo, Lecce, Puglia, 73034, Italia"
76126,"Martirano Lombardo, Catanzaro, Calabria, Italia"
76127,"Massenzatico, Reggio nell'Emilia, Emilia-Romagna, 42025, Italia"
76132,"Menfi, Agrigento, Sicilia, 92013, Italia"
76133,"Miggiano, Lecce, Puglia, 73035, Italia"
76156,"Montecavolo, Quattro Castella, Colline Matildiche, Reggio nell'Emilia, Emilia-Romagna, Italia"
76196,"Pellaro, Reggio di Calabria, Calabria, 89134, Italia"
76200,"Pietramontecorvino, Foggia, Puglia, 71030, Italia"
76201,"Pietrelcina, Benevento, Campania, Italia"
76212,"Puianello, Quattro Castella, Colline Matildiche, Reggio nell'Emilia, Emilia-Romagna, 42020, Italia"
76235,"Rivalta, Reggio nell'Emilia, Emilia-Romagna, Italia"
76237,"Roccarainola, Napoli, Campania, Italia"
76238,"Rolo, Pianura Reggiana, Reggio nell'Emilia, Emilia-Romagna, 42047, Italia"
76246,"Roteglia, Castellarano, Tresinaro - Secchia, Reggio nell'Emilia, Emilia-Romagna, 42014, Italia"
76249,"Salvaterra, Casalgrande, Tresinaro - Secchia, Reggio nell'Emilia, Emilia-Romagna, 42013, Italia"
76252,"San Cipirello, Palermo, Sicilia, 90040, Italia"
76253,"San Fili, Cosenza, Calabria, Italia"
76257,"San Leonardo, Udine, Friuli-Venezia Giulia, Italia"
76261,"San Paolo di Civitate, Foggia, Puglia, Italia"
76265,"San Silvestro, Curtatone, Mantova, Lombardia, 46034, Italia"
76267,"Santa Caterina dello Ionio, Catanzaro, Calabria, Italia"
76269,"Sant'Anastasia, Napoli, Campania, 80048, Italia"
76278,"Specchia, Lecce, Puglia, Italia"
76279,"Strasatti, Marsala, Trapani, Sicilia, 91025, Italia"
76290,"Varapodio, Reggio di Calabria, Calabria, Italia"
76292,"Verzino, Crotone, Calabria, Italia"
76298,"Volla, Napoli, Campania, Italia"
76304,"Bordolano, Cremona, Lombardia, Italia"
76308,"Casalmorano, Cremona, Lombardia, Italia"
76316,"Grumello Cremonese ed Uniti, Cremona, Lombardia, 26023, Italia"
76327,"San Bassano, Cremona, Lombardia, Italia"
76345,"Aci Platani, Acireale, Catania, Sicilia, 95024, Italia"
76346,"Aci Sant'Antonio, Catania, Sicilia, 95025, Italia"
76347,"Aci Trezza, Aci Castello, Catania, Sicilia, 95021, Italia"
76355,"Belvedere, Siracusa, Sicilia, Italia"
76365,"Cannizzaro, Via Francesco Macaluso, Gallinaro, Cannizzaro, Aci Castello, Catania, Sicilia, 95021, Italia"
76382,"Ficarazzi, Aci Castello, Catania, Sicilia, 95021, Italia"
76383,"Fiumefreddo di Sicilia, Catania, Sicilia, 95013, Italia"
76384,"Floresta, Messina, Sicilia, 98030, Italia"
76385,"Francavilla di Sicilia, Messina, Sicilia, 98034, Italia"
76392,"Guardia, Acireale, Catania, Sicilia, 95024, Italia"
76393,"Linguaglossa, Catania, Sicilia, 95015, Italia"
76401,"Merì, Messina, Sicilia, 98040, Italia"
76433,"Raccuja, Messina, Sicilia, 98067, Italia"
76440,"Roccalumera, Messina, Sicilia, 98027, Italia"
76447,"Santa Maria la Stella, Aci Sant'Antonio, Catania, Sicilia, 95025, Italia"
76448,"Santa Tecla, Acireale, Catania, Sicilia, 95024, Italia"
76451,"Sant'Alfio, Catania, Sicilia, 95010, Italia"
76454,"Sinagra, Messina, Sicilia, 98069, Italia"
76465,"Tremestieri Etneo, Catania, Sicilia, 95030, Italia"
76471,"Villasmundo, Melilli, Siracusa, Sicilia, 96010, Italia"
76472,"Vita, Trapani, Sicilia, 91010, Italia"
76475,"Altivole, Treviso, Veneto, Italia"
76488,"Monfumo, Treviso, Veneto, Italia"
76491,"Musano, Trevignano, Treviso, Veneto, 31038, Italia"
76493,"Resana, Treviso, Veneto, 31023, Italia"
76495,"Vedelago, Treviso, Veneto, Italia"
76500,"Cavaso del Tomba, Treviso, Veneto, 31034, Italia"
76510,"Borgo Masotti, Ravenna, Emilia-Romagna, 48120, Italia"
76513,"Montecalvoli, Santa Maria a Monte, Pisa, Toscana, 56031, Italia"
76517,"Ospedaletto, Pisa, Toscana, 56121, Italia"
76523,"Berbenno, Bergamo, Lombardia, Italia"
76525,"Bulciago, Lecco, Lombardia, 23892, Italia"
76528,"Casnate con Bernate, Como, Lombardia, Italia"
76529,"Caspoggio, Sondrio, Lombardia, 23020, Italia"
76530,"Cepina Valdisotto, Via E. De Gasperi, Pedemonte, Cepina, Valdisotto, Sondrio, Lombardia, 23030, Italia"
76538,"Cosio Valtellino, Sondrio, Lombardia, 23013, Italia"
76544,"Inverigo, Como, Lombardia, 22044, Italia"
76558,"Pasturo, Lecco, Lombardia, 23818, Italia"
76563,"Sirone, Lecco, Lombardia, 23844, Italia"
76574,"Tresivio, Sondrio, Lombardia, 23020, Italia"
76611,"Conegliano, Treviso, Veneto, 31015, Italia"
76641,"Almè, Bergamo, Lombardia, 24011, Italia"
76648,"Asso, Como, Lombardia, Italia"
76675,"Brivio, Lecco, Lombardia, 23883, Italia"
76690,"Canzo, Como, Lombardia, 22035, Italia"
76691,"Capriate San Gervasio, Bergamo, Lombardia, 24042, Italia"
76713,"Civate, Lecco, Lombardia, 23862, Italia"
76749,"Garzeno, Como, Lombardia, Italia"
76779,"Lierna, Lecco, Lombardia, 23827, Italia"
76794,"Massa Lubrense, Napoli, Campania, Italia"
76936,"San Bartolomeo Val Cavargna, Como, Lombardia, Italia"
76943,"Sant'Agata sui due Golfi, Monticchio, Massa Lubrense, Napoli, Campania, 80067, Italia"
76957,"Terno d'Isola, Bergamo, Lombardia, Italia"
76978,"Valbrona, Como, Lombardia, 22039, Italia"
76986,"Vercurago, Lecco, Lombardia, 23808, Italia"
77042,"Tavagnacco, Udine, Friuli-Venezia Giulia, Italia"
77053,"Cittaducale, Rieti, Lazio, 02015, Italia"
77073,"Altedo, Malalbergo, Unione Terre di Pianura, Bologna, Emilia-Romagna, 40116, Italia"
77077,"Azeglio, Torino, Piemonte, Italia"
77101,"Loiano, Unione dei comuni Savena-Idice, Bologna, Emilia-Romagna, 40050, Italia"
77108,"Monzuno, Unione dell'Appennino Bolognese, Bologna, Emilia-Romagna, 40036, Italia"
77114,"Rioveggio, Monzuno, Unione dell'Appennino Bolognese, Bologna, Emilia-Romagna, 40036, Italia"
77117,"San Benedetto Val di Sambro, Unione dell'Appennino Bolognese, Bologna, Emilia-Romagna, 40048, Italia"
77120,"San Martino in Argine, Molinella, Bologna, Emilia-Romagna, 40062, Italia"
77196,"San Prospero Parmense, Parma, Emilia-Romagna, Italia"
77208,"Baranzate, Città metropolitana di Milano, Lombardia, Italia"
77217,"Fara San Martino, Chieti, Abruzzo, 66015, Italia"
77311,"Pollenza, Macerata, Marche, Italia"
77357,"San Giorgio della Richinvelda, Pordenone, Friuli-Venezia Giulia, 33095, Italia"
77399,"Biadene, Montebelluna, Treviso, Veneto, 31044, Italia"
77450,"Monte San Pietro, Unione dei comuni Valli del Reno, Lavino e Samoggia, Bologna, Emilia-Romagna, Italia"
77568,"Sant'Agata Feltria, Unione di comuni Valmarecchia, Rimini, Emilia-Romagna, 47866, Italia"
77610,"Migliarino Pisano, Vecchiano, Pisa, Toscana, 56019, Italia"
77673,"Besozzo, Varese, Lombardia, Italia"
77676,"Blufi, Palermo, Sicilia, 90020, Italia"
77686,"Boville Ernica, Frosinone, Lazio, 03022, Italia"
77759,"Gaggi, Messina, Sicilia, 98030, Italia"
77781,"Grisì, Monreale, Palermo, Sicilia, 90040, Italia"
77795,"Librizzi, Messina, Sicilia, 98064, Italia"
77945,"Moio Alcantara, Messina, Sicilia, 98030, Italia"
77952,"Monte San Giovanni Campano, Frosinone, Lazio, Italia"
77981,"Oliveri, Messina, Sicilia, 98060, Italia"
77983,"Paceco, Trapani, Sicilia, 91027, Italia"
78012,"Pietraperzia, Enna, Sicilia, 94016, Italia"
78093,"Santa Margherita di Belice, Agrigento, Sicilia, 92018, Italia"
78165,"Ùsini/Usini, Sassari, Sardegna, 07049, Italia"
78196,"Aiello del Friuli, Udine, Friuli-Venezia Giulia, 33041, Italia"
78199,"Alpago, Belluno, Veneto, Italia"
78201,"Alte Ceccato, Montecchio Maggiore, Arcugnano, Vicenza, Veneto, 36075, Italia"
78220,"Bevilacqua, Verona, Veneto, Italia"
78222,"Bolzano Vicentino, Vicenza, Veneto, 36050, Italia"
78244,"Canove, Roana, Vicenza, Veneto, 36012, Italia"
78250,"Carrè, Vicenza, Veneto, 36010, Italia"
78254,"Casoni di Mussolente, Mussolente, Vicenza, Veneto, 36065, Italia"
78260,"Castello d'Agogna, Pavia, Lombardia, Italia"
78262,"Castelnovo, Isola Vicentina, Vicenza, Veneto, 36033, Italia"
78265,"Cavazzale, Monticello Conte Otto, Vicenza, Veneto, 36031, Italia"
78272,"Cinto Caomaggiore, Venezia, Veneto, Italia"
78283,"Cussignacco, Udine, Friuli-Venezia Giulia, 33100, Italia"
78285,"Dossobuono, Villafranca di Verona, Verona, Veneto, 37062, Italia"
78290,"Farra di Soligo, Treviso, Veneto, Italia"
78300,"Fonzaso, Belluno, Veneto, 32030, Italia"
78313,"Grisignano di Zocco, Vicenza, Veneto, Italia"
78332,"Loreggia, Padova, Veneto, Italia"
78335,"Lusiana, Lusiana Conco, Vicenza, Veneto, 36046, Italia"
78349,"Meledo, Sarego, Arcugnano, Vicenza, Veneto, 36054, Italia"
78394,"Paularo, Udine, Friuli-Venezia Giulia, 33027, Italia"
78402,"Piovene Rocchette, Vicenza, Veneto, 36013, Italia"
78409,"Ponte di Nanto, Nanto, Vicenza, Veneto, 36024, Italia"
78415,"Povoletto, Udine, Friuli-Venezia Giulia, Italia"
78416,"Pozzoleone, Vicenza, Veneto, Italia"
78442,"Preseglie, Comunità montana della Valle Sabbia, Brescia, Lombardia, 25070, Italia"
78444,"Quinto di Valpantena, Verona, Veneto, Italia"
78445,"Quinto Vicentino, Vicenza, Veneto, 36020, Italia"
78493,"San Pietro Mussolino, Comunità Montana Agno-Chiampo, Vicenza, Veneto, Italia"
78496,"San Vito al Torre, Udine, Friuli-Venezia Giulia, 33050, Italia"
78497,"San Vito di Leguzzano, Vicenza, Veneto, Italia"
78504,"Sant'Eufemia, Borgoricco, Padova, Veneto, Italia"
78505,"Santo Stefano di Zimella, Zimella, Verona, Veneto, Italia"
78506,"Santorso, Vicenza, Veneto, 36014, Italia"
78509,"Scaldasole, Pavia, Lombardia, Italia"
78528,
78559,"Vallesella, Domegge di Cadore, Belluno, Veneto, 32042, Italia"
78597,"Zugliano, Vicenza, Veneto, Italia"
78611,"Arsago Seprio, Varese, Lombardia, Italia"
78623,"Bavaria, Nervesa della Battaglia, Treviso, Veneto, 31020, Italia"
78634,"Briga Novarese, Novara, Piemonte, Italia"
78640,"Candelù, Maserada sul Piave, Treviso, Veneto, Italia"
78641,"Cannero Riviera, Verbano-Cusio-Ossola, Piemonte, 28821, Italia"
78647,"Casella d'Asolo, Asolo, Fonte, Treviso, Veneto, 31011, Italia"
78649,"Castelcucco, Treviso, Veneto, Italia"
78660,"Cimadolmo, Treviso, Veneto, Italia"
78665,"Col San Martino, Farra di Soligo, Treviso, Veneto, Italia"
78672,"Crespano del Grappa, Pieve del Grappa, Treviso, Veneto, 31017, Italia"
78674,"Crusinallo, Omegna, Valstrona, Verbano-Cusio-Ossola, Piemonte, 28882, Italia"
78676,"Cupramontana, Ancona, Marche, 60034, Italia"
78683,"Dormelletto, Novara, Piemonte, 6, Italia"
78689,"Falzè, Trevignano, Treviso, Veneto, Italia"
78693,"Fiesso Umbertiano, Rovigo, Veneto, 45024, Italia"
78695,"Fontaneto d'Agogna, Novara, Piemonte, 2, Italia"
